Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30,Trial_31,Trial_32,Trial_33,Trial_34,Trial_35,Trial_36,Trial_37,Trial_38,Trial_39,Trial_40,Trial_41,Trial_42,Trial_43,Trial_44,Trial_45,Trial_46,Trial_47,Trial_48,Trial_49,Trial_50,Trial_51,Trial_52,Trial_53,Trial_54,Trial_55,Trial_56,Trial_57,Trial_58,Trial_59,Trial_60,Trial_61,Trial_62,Trial_63,Trial_64,Trial_65,Trial_66,Trial_67,Trial_68,Trial_69,Trial_70,Trial_71,Trial_72,Trial_73,Trial_74,Trial_75,Trial_76,Trial_77,Trial_78,Trial_79,Trial_80,Trial_81,Trial_82,Trial_83,Trial_84,Trial_85,Trial_86,Trial_87,Trial_88,Trial_89,Trial_90,Trial_91,Trial_92,Trial_93,Trial_94,Trial_95,Trial_96,Trial_97,Trial_98,Trial_99,Trial_100
 ,7.5,1.48,4.98,1.49, , ,4.96, ,4.98, , , , , ,4.99, , , , ,7.47,11.22,3.31, , , , ,7.48,11.17, ,1.47,2.23, , ,2.22, , , , , , ,2.21, , , , , ,7.49, , , , ,2.22, , ,11.23, , ,4.98,2.22,4.98,1.48, ,7.48, , , ,3.34,3.33, , ,3.32, , , , ,4.99,2.21, ,7.49,4.99,4.98, ,7.46, , , ,4.97, ,4.97, ,4.99,7.48, ,3.34, ,2.21, , ,7.49
 ,6.0,1.78,5.98,1.79, , ,3.97, ,5.98, , , , , ,5.99, , , , ,5.98, ,3.97, , , , ,8.98, , ,1.76,2.68, , ,2.66, , , , , , ,2.65, , , , , ,5.99, , , , ,1.78, , , , , ,5.98,1.78,3.98,1.18, ,8.98, , , ,4.01,4.0, , ,3.98, , , , ,5.99,1.77, ,8.99,5.99,3.98, ,8.95, , , ,3.98, ,3.98, ,3.99,8.98, ,4.01, ,2.65, , ,8.99
 ,7.2,1.42,7.18,2.15, , ,4.76, ,7.18, , , , , ,4.79, , , , ,4.78, ,4.76, , , , ,7.18, , ,2.11,3.22, , ,2.13, , , , , , ,2.12, , , , , ,4.79, , , , ,2.14, , , , , ,7.18,2.14,4.78,0.94, ,10.78, , , ,4.81,3.2, , ,4.78, , , , ,7.19,2.12, ,7.19,7.19,3.18, ,7.16, , , ,3.18, ,4.78, ,3.19,10.78, ,4.81, ,2.12, , ,7.19
 ,5.76,1.7,5.74,1.72, , ,5.71, ,8.62, , , , , ,5.75, , , , ,5.74, ,3.81, , , , ,8.62, , ,2.53,3.86, , ,1.7, , , , , , ,1.7, , , , , ,3.83, , , , ,2.57, , , , , ,8.62,2.57,5.74, , , , , , ,5.77,3.84, , ,5.74, , , , ,8.63,2.54, ,8.63,5.75,2.54, ,8.59, , , ,3.82, ,3.82, ,3.83, , ,5.77, ,1.7, , ,5.75
 ,6.91,1.36,6.89,1.38, , ,6.85, ,6.9, , , , , ,4.6, , , , ,6.89, ,3.05, , , , ,6.9, , ,2.02,3.09, , ,1.36, , , , , , ,1.36, , , , , ,4.6, , , , ,3.08, , , , , ,6.9,2.06,6.89, , , , , , ,6.92,3.07, , ,6.89, , , , ,10.36,2.03, ,6.9,6.9,2.03, ,10.31, , , ,4.58, ,3.06, ,3.06, , ,6.92, ,1.36, , ,4.6
 ,8.29,1.09,8.27,1.1, , ,8.22, ,5.52, , , , , ,5.52, , , , ,5.51, ,3.66, , , , ,8.28, , ,1.62,3.71, , ,1.63, , , , , , ,1.63, , , , , ,3.68, , , , ,3.7, , , , , ,8.28,2.47,8.27, , , , , , ,8.3,3.68, , ,8.27, , , , , ,2.44, ,8.28,8.28,1.62, , , , , ,3.66, ,2.45, ,2.45, , ,5.54, ,1.09, , ,5.52
 ,6.63,0.87,9.92,0.88, , ,9.86, ,6.62, , , , , ,4.42, , , , ,4.41, ,2.93, , , , ,6.62, , ,1.94,4.45, , ,1.3, , , , , , ,1.3, , , , , ,2.94, , , , ,4.44, , , , , ,9.94,1.98,9.92, , , , , , ,9.96,4.42, , ,9.92, , , , , ,2.93, ,9.94,6.62,1.3, , , , , ,4.39, ,2.94, ,1.96, , ,6.65, ,1.31, , ,6.62
 ,5.3, ,11.9, , , ,11.83, ,7.94, , , , , ,5.3, , , , ,3.53, ,2.34, , , , ,5.3, , ,2.33,5.34, , ,1.04, , , , , , ,1.04, , , , , ,2.35, , , , ,5.33, , , , , ,11.93,1.58,11.9, , , , , , ,11.95,5.3, , ,11.9, , , , , ,3.52, ,11.93,7.94,1.56, , , , , ,3.51, ,2.35, ,2.35, , ,7.98, ,1.05, , ,7.94
 ,6.36, , , , , , , ,9.53, , , , , ,6.36, , , , ,2.82, ,2.81, , , , ,4.24, , ,1.86,4.27, , ,0.83, , , , , , ,1.25, , , , , ,2.82, , , , ,6.4, , , , , , ,1.9, , , , , , , , ,4.24, , , , , , , , ,2.82, , ,6.35,1.25, , , , , ,4.21, ,1.88, ,1.88, , ,6.38, ,1.26, , ,9.53
 ,7.63, , , , , , , ,11.44, , , , , ,7.63, , , , ,3.38, ,3.37, , , , ,5.09, , ,1.49,3.42, , , , , , , , , ,1.5, , , , , ,3.38, , , , ,7.68, , , , , , ,2.28, , , , , , , , ,3.39, , , , , , , , ,3.38, , ,7.62,1.0, , , , , ,5.05, ,1.5, ,2.26, , ,7.66, ,1.51, , ,11.44
